trip_id,arrival_time,departure_time,stop_id,sequence
1,08:09:30,08:09:30,140,1,
1,08:12:00,08:12:00,139,2,
1,08:13:00,08:13:00,138,3,
1,08:14:00,08:14:00,137,4,
1,08:15:00,08:15:00,136,5,
1,08:16:00,08:16:00,135,6,
1,08:18:00,08:18:00,134,7,
1,08:19:30,08:19:30,133,8,
1,08:21:00,08:21:00,132,9,
1,08:22:00,08:22:00,131,10,
1,08:23:00,08:23:00,130,11,
1,08:24:00,08:24:00,129,12,
1,08:25:00,08:25:00,128,13,
1,08:26:30,08:26:30,127,14,
1,08:28:30,08:28:30,126,15,
1,08:30:30,08:30:30,125,16,
1,08:32:00,08:32:00,124,17,
1,08:33:00,08:33:00,123,18,
1,08:35:00,08:35:00,122,19,
1,08:36:00,08:36:00,121,20,
1,08:38:00,08:38:00,120,21,
1,08:39:30,08:39:30,119,22,
1,08:41:00,08:41:00,118,23,
1,08:42:00,08:42:00,117,24,
1,08:44:30,08:44:30,116,25,
1,08:46:30,08:46:30,115,26,
1,08:48:00,08:48:00,114,27,
1,08:50:00,08:50:00,113,28,
1,08:51:30,08:51:30,112,29,
1,08:53:30,08:53:30,111,30,
1,08:55:00,08:55:00,110,31,
1,08:56:30,08:56:30,109,32,
1,08:58:00,08:58:00,108,33,
1,08:59:30,08:59:30,107,34,
1,09:01:00,09:01:00,106,35,
1,09:02:30,09:02:30,104,36,
1,09:04:00,09:04:00,103,37,
1,09:05:30,09:05:30,101,38,
2,07:57:00,07:57:00,247,1,
2,07:59:00,07:59:00,246,2,
2,08:00:00,08:00:00,245,3,
2,08:01:30,08:01:30,244,4,
2,08:03:30,08:03:30,243,5,
2,08:05:30,08:05:30,242,6,
2,08:07:00,08:07:00,241,7,
2,08:09:30,08:11:00,239,8,
2,08:13:00,08:13:00,238,9,
2,08:15:00,08:15:00,237,10,
2,08:17:00,08:17:00,236,11,
2,08:18:30,08:18:30,235,12,
2,08:20:00,08:20:00,234,13,
2,08:21:30,08:21:30,233,14,
2,08:23:00,08:23:00,232,15,
2,08:25:00,08:25:00,231,16,
2,08:28:30,08:28:30,230,17,
2,08:30:00,08:30:00,229,18,
2,08:32:00,08:32:00,228,19,
2,08:33:30,08:33:30,137,20,
2,08:38:00,08:38:00,132,21,
2,08:41:00,08:41:00,128,22,
2,08:42:00,08:42:00,127,23,
2,08:46:00,08:46:00,123,24,
2,08:49:00,08:49:00,120,25,
2,08:53:30,08:53:30,227,26,
2,08:54:30,08:54:30,226,27,
2,08:56:00,08:56:00,225,28,
2,08:58:00,08:59:30,224,29,
2,09:03:00,09:03:00,222,30,
2,09:05:00,09:05:00,221,31,
2,09:07:30,09:07:30,220,32,
2,09:09:00,09:09:00,219,33,
2,09:10:00,09:10:00,218,34,
2,09:11:00,09:11:00,217,35,
2,09:13:00,09:13:00,216,36,
2,09:15:00,09:15:00,215,37,
2,09:17:00,09:17:00,214,38,
2,09:18:30,09:18:30,213,39,
2,09:20:30,09:20:30,212,40,
2,09:22:30,09:22:30,211,41,
2,09:24:30,09:24:30,210,42,
2,09:26:00,09:26:00,209,43,
2,09:27:30,09:27:30,208,44,
2,09:29:00,09:29:00,207,45,
2,09:30:00,09:30:00,206,46,
2,09:31:30,09:31:30,205,47,
2,09:33:00,09:33:00,204,48,
2,09:35:00,09:35:00,201,49,
3,06:14:30,06:14:30,257,1,
3,06:16:00,06:16:00,256,2,
3,06:17:00,06:17:00,255,3,
3,06:18:30,06:18:30,254,4,
3,06:19:30,06:19:30,253,5,
3,06:21:30,06:21:30,252,6,
3,06:23:00,06:23:00,251,7,
3,06:25:30,06:25:30,250,8,
3,06:27:30,06:27:30,249,9,
3,06:29:30,06:29:30,248,10,
3,06:31:00,06:31:00,239,11,
3,06:33:00,06:33:00,238,12,
3,06:34:30,06:34:30,237,13,
3,06:36:30,06:36:30,236,14,
3,06:38:00,06:38:00,235,15,
3,06:39:30,06:39:30,234,16,
3,06:41:00,06:41:00,233,17,
3,06:42:30,06:42:30,232,18,
3,06:44:00,06:44:00,231,19,
3,06:47:30,06:47:30,230,20,
3,06:48:30,06:48:30,229,21,
3,06:51:00,06:51:00,228,22,
3,06:52:00,06:52:00,137,23,
3,06:56:30,06:56:30,132,24,
3,06:59:00,06:59:00,128,25,
3,07:00:00,07:00:00,127,26,
3,07:04:00,07:04:00,123,27,
3,07:07:00,07:07:00,120,28,
3,07:11:30,07:11:30,227,29,
3,07:12:30,07:12:30,226,30,
3,07:14:00,07:14:00,225,31,
3,07:15:30,07:15:30,224,32,
3,07:17:30,07:17:30,302,33,
3,07:19:30,07:19:30,301,34,
4,05:13:30,05:13:30,257,1,
4,05:15:00,05:15:00,256,2,
4,05:16:00,05:16:00,255,3,
4,05:17:30,05:17:30,254,4,
4,05:18:30,05:18:30,253,5,
4,05:20:30,05:20:30,252,6,
4,05:22:00,05:22:00,251,7,
4,05:24:30,05:24:30,250,8,
4,05:26:30,05:26:30,249,9,
4,05:28:30,05:28:30,248,10,
4,05:30:00,05:30:00,239,11,
4,05:32:00,05:32:00,238,12,
4,05:33:30,05:33:30,237,13,
4,05:35:30,05:35:30,236,14,
4,05:37:00,05:37:00,235,15,
4,05:38:30,05:38:30,234,16,
4,05:40:00,05:40:00,423,17,
4,05:45:00,05:45:00,420,18,
4,05:46:00,05:46:00,419,19,
4,05:47:30,05:47:30,418,20,
4,05:49:00,05:49:00,640,21,
4,05:53:30,05:53:30,635,22,
4,05:57:00,05:57:00,631,23,
4,05:59:00,05:59:00,629,24,
4,06:02:30,06:02:30,626,25,
4,06:07:00,06:07:00,621,26,
4,06:09:30,06:09:30,416,27,
4,06:11:30,06:11:30,415,28,
4,06:14:00,06:14:00,414,29,
4,06:15:30,06:15:30,413,30,
4,06:17:00,06:17:00,412,31,
4,06:18:00,06:18:00,411,32,
4,06:19:00,06:19:00,410,33,
4,06:20:30,06:20:30,409,34,
4,06:22:00,06:22:00,408,35,
4,06:23:00,06:23:00,407,36,
4,06:24:30,06:24:30,406,37,
4,06:26:30,06:26:30,405,38,
4,06:28:30,06:28:30,402,39,
4,06:30:30,06:30:30,401,40,
5,07:24:30,07:24:30,247,1,
5,07:26:30,07:26:30,246,2,
5,07:27:30,07:27:30,245,3,
5,07:29:00,07:29:00,244,4,
5,07:30:30,07:30:30,243,5,
5,07:32:30,07:32:30,242,6,
5,07:34:00,07:34:00,241,7,
5,07:36:30,07:36:30,239,8,
5,07:41:00,07:41:00,235,9,
5,07:42:30,07:42:30,234,10,
5,07:44:30,07:44:30,423,11,
5,07:50:00,07:50:00,420,12,
5,07:51:30,07:51:30,419,13,
5,07:52:30,07:52:30,418,14,
5,07:54:30,07:54:30,640,15,
5,07:59:00,07:59:00,635,16,
5,08:03:00,08:03:00,631,17,
5,08:05:30,08:05:30,629,18,
5,08:09:00,08:09:00,626,19,
5,08:13:30,08:13:30,621,20,
5,08:16:00,08:16:00,416,21,
5,08:18:30,08:18:30,222,22,
5,08:20:30,08:20:30,221,23,
5,08:22:30,08:22:30,220,24,
5,08:24:00,08:24:00,219,25,
5,08:25:00,08:25:00,218,26,
5,08:26:00,08:26:00,217,27,
5,08:27:30,08:27:30,216,28,
5,08:29:30,08:29:30,215,29,
5,08:31:30,08:31:30,214,30,
5,08:33:00,08:33:00,213,31,
5,08:36:30,08:36:30,505,32,
5,08:37:30,08:37:30,504,33,
5,08:40:30,08:40:30,503,34,
5,08:42:30,08:42:30,502,35,
5,08:45:00,08:45:00,501,36,
5X,16:56:30,16:56:30,247,1,
5X,16:58:30,16:58:30,246,2,
5X,16:59:30,16:59:30,245,3,
5X,17:01:00,17:01:00,244,4,
5X,17:02:30,17:02:30,243,5,
5X,17:04:30,17:04:30,242,6,
5X,17:06:00,17:06:00,241,7,
5X,17:08:30,17:08:30,239,8,
5X,17:12:30,17:12:30,235,9,
5X,17:14:00,17:14:00,234,10,
5X,17:16:00,17:16:00,423,11,
5X,17:22:00,17:22:00,420,12,
5X,17:23:30,17:23:30,419,13,
5X,17:25:00,17:25:00,418,14,
5X,17:27:00,17:27:00,640,15,
5X,17:33:00,17:33:00,635,16,
5X,17:38:00,17:38:00,631,17,
5X,17:40:30,17:40:30,629,18,
5X,17:44:00,17:44:00,626,19,
5X,17:49:00,17:49:00,621,20,
5X,17:51:30,17:51:30,416,21,
5X,17:54:00,17:54:00,222,22,
5X,17:56:00,17:56:00,221,23,
5X,18:05:00,18:06:00,213,24,
5X,18:08:00,18:08:00,212,25,
5X,18:10:30,18:10:30,211,26,
5X,18:12:30,18:12:30,210,27,
5X,18:14:00,18:14:00,209,28,
5X,18:16:00,18:16:00,208,29,
5X,18:17:30,18:17:30,207,30,
5X,18:19:00,18:19:00,206,31,
5X,18:20:30,18:20:30,205,32,
5X,18:22:00,18:22:00,204,33,
6,02:32:30,02:32:30,640,1,
6,02:34:30,02:34:30,639,2,
6,02:36:00,02:36:00,638,3,
6,02:37:00,02:37:00,637,4,
6,02:38:30,02:38:30,636,5,
6,02:40:00,02:40:00,635,6,
6,02:42:00,02:42:00,634,7,
6,02:43:00,02:43:00,633,8,
6,02:44:00,02:44:00,632,9,
6,02:46:00,02:46:00,631,10,
6,02:47:30,02:47:30,630,11,
6,02:49:00,02:49:00,629,12,
6,02:51:00,02:51:00,628,13,
6,02:52:30,02:52:30,627,14,
6,02:54:00,02:54:00,626,15,
6,02:56:00,02:56:00,625,16,
6,02:57:30,02:57:30,624,17,
6,02:58:30,02:58:30,623,18,
6,03:00:00,03:00:00,622,19,
6,03:01:30,03:01:30,621,20,
6,03:04:30,03:04:30,619,21,
6,03:06:00,03:06:00,618,22,
6,03:07:00,03:07:00,617,23,
6,03:09:00,03:09:00,616,24,
6,03:10:30,03:10:30,615,25,
6,03:12:00,03:12:00,614,26,
6,03:14:00,03:14:00,613,27,
6,03:15:30,03:15:30,612,28,
6,03:17:00,03:17:00,611,29,
6,03:18:00,03:18:00,610,30,
6,03:19:30,03:19:30,609,31,
6,03:20:30,03:20:30,608,32,
6,03:22:00,03:22:00,607,33,
6,03:23:00,03:23:00,606,34,
6,03:24:00,03:24:00,604,35,
6,03:25:30,03:25:30,603,36,
6,03:27:00,03:27:00,602,37,
6,03:29:30,03:29:30,601,38,
